biosum_cond_id,ID,acres,owngrpcd,rxcycle,rxpackage,county,mmbf_county,merch_yield_mmbf,target,random_harvest_assign,total_yield,cum_sum,error,random_harvest_assign1
1201306060308700644540001,1509,7523.9589376441,40,4,032,Santa Cruz,15.7,0.02644207,13.140899999999998,499.85003410220463,13.217069591232883,13.217069591232883,0.01,499.85003410220463
1200706050708900696540002,162,4586.3245250302,40,1,032,Shasta,229.1,0.0605462,191.7567,250.15945686101813,15.146204506998576,15.146204506998576,0.01,NA
1201206060208900838660001,1297,7109.2577343223,40,1,032,Shasta,229.1,0.05141273,191.7567,118.61948629382029,6.0985516215628826,21.24475612856146,0.01,NA
1201306060308900681750003,1517,2256.286820136,40,1,032,Shasta,229.1,0.04370453,191.7567,673.4841701450564,29.43430911862972,50.679065247191176,0.01,NA
1201106060108900599690001,1069,5983.2508726086,40,1,032,Shasta,229.1,0.04110648,191.7567,43.55725455985098,1.7904854134194232,52.4695506606106,0.01,NA
1201106060108900911080001,1076,4834.9775392873,40,1,032,Shasta,229.1,0.05695723,191.7567,44.13517663777362,2.5138174068482986,54.9833680674589,0.01,NA
1201606060608900752760001,2214,5230.4785991855,40,1,032,Shasta,229.1,0.04139477,191.7567,205.3900573877249,8.502074185851672,63.48544225331057,0.01,NA
1201406060408900877420002,1754,2432.4325531211002,40,1,032,Shasta,229.1,0.05610954,191.7567,190.55743246890415,10.692089879411276,74.17753213272185,0.01,NA
1201606060608900686030001,2210,6027.8484986803,40,1,032,Shasta,229.1,0.08680111,191.7567,404.40682440007924,35.102961249501966,109.28049338222381,0.01,NA
1201206060208900663530001,1293,5470.2662702574,40,1,032,Shasta,229.1,0.03921734,191.7567,126.80760722952495,4.973057047306738,114.25355042953055,0.01,NA
1201006051008900975130001,842,6069.123622867,40,1,032,Shasta,229.1,0.03595981,191.7567,250.4383089333604,9.005714005964943,123.2592644354955,0.01,NA
1201406060408900776390001,1749,5944.9511546649,40,1,032,Shasta,229.1,0.05118,191.7567,341.17902359292566,17.461542427485938,140.72080686298142,0.01,NA
1201306060308900887370001,1527,4968.1502849231,40,1,032,Shasta,229.1,0.05108367,191.7567,149.49866598159002,7.636940518443771,148.3577473814252,0.01,NA
1201306060308900822720001,1525,6922.0647713472,40,1,032,Shasta,229.1,0.06412487,191.7567,699.6629936748188,44.86579851320858,193.2235458946338,0.01,NA
1201006051008900502930001,830,6296.5454305866,40,2,032,Shasta,229.1,0.04410947,191.7567,1268.5228968458562,55.953872662735385,55.953872662735385,0.01,1268.5228968458562
1200906050908900924260001,612,7523.9589376441,40,2,032,Shasta,229.1,0.03665391,191.7567,13.711033729488681,0.5025629963276425,56.456435659063025,0.01,13.711033729488681
1201106060108900942770001,1078,7523.9589376441,40,2,032,Shasta,229.1,0.03751729,191.7567,49.96440958928508,1.8745292442399895,58.33096490330302,0.01,49.96440958928508
1200806050808900943620001,378,7776.2133151155,40,2,032,Shasta,229.1,0.04221884,191.7567,734.7136220258291,31.018756854128952,89.34972175743196,0.01,734.7136220258291
1200906050908900610570001,600,6904.4706649014,40,2,032,Shasta,229.1,0.05640268,191.7567,225.03155718629858,12.692382909880498,102.04210466731247,0.01,225.03155718629858
1201006051008900600260002,834,6873.7908794259,40,2,032,Shasta,229.1,0.07141404,191.7567,831.4687179605379,59.37854028318257,161.42064495049505,0.01,831.4687179605379
1200706050708900510970001,153,6787.6748197653,40,2,032,Shasta,229.1,0.04010481,191.7567,5.345913438154587,0.21439684271363643,161.63504179320867,0.01,5.345913438154587
1200906050908900760570001,605,7458.6282077925,40,2,032,Shasta,229.1,0.04529181,191.7567,650.2126680720551,29.449308621912586,191.08435041512126,0.01,650.2126680720551
1201506060508900581460001,1976,7109.2577343223,40,3,032,Shasta,229.1,0.05706546,191.7567,504.5075839680879,28.78995735262756,28.78995735262756,0.01,504.5075839680879
1200906050908900848520001,608,7109.2577343223,40,3,032,Shasta,229.1,0.07588059,191.7567,69.97055842670092,5.309407256047537,34.099364608675096,0.01,69.97055842670092
1201306060308900740560001,1520,6595.1880537389,40,3,032,Shasta,229.1,0.05415104,191.7567,53.48572027748743,2.896307378175033,36.99567198685013,0.01,53.48572027748743
1201506060508900938280001,1984,7028.9620212017,40,3,032,Shasta,229.1,0.0402,191.7567,513.1249172533069,20.627621673582937,57.62329366043306,0.01,513.1249172533069
1200706050708900670500001,160,7523.9589376441,40,3,032,Shasta,229.1,0.0528202,191.7567,269.7543618047633,14.248479341399957,71.87177300183302,0.01,269.7543618047633
1200906050908900756960001,604,7523.9589376441,40,3,032,Shasta,229.1,0.0566952,191.7567,106.40156158585413,6.032457814422317,77.90423081625534,0.01,106.40156158585413
1201106060108900918310001,1077,6027.8776515001,40,3,032,Shasta,229.1,0.03895313,191.7567,481.8498905136501,18.76956142566398,96.67379224191932,0.01,481.8498905136501
1201406060408900642730001,1742,10001.6957588483,40,3,032,Shasta,229.1,0.045376,191.7567,594.21821140866,26.963245560879354,123.63703780279867,0.01,594.21821140866
1201606060608900746520001,2213,7109.2577343223,40,3,032,Shasta,229.1,0.02365241,191.7567,335.62643310362625,7.93837400260454,131.5754118054032,0.01,335.62643310362625
1201406060408900839450001,1751,8231.4975334992,40,3,032,Shasta,229.1,0.05116976,191.7567,569.5816204357217,29.145354818106973,160.7207666235102,0.01,569.5816204357217
1200706050708900511050001,154,7109.2577343223,40,3,032,Shasta,229.1,0.01669579,191.7567,586.036570209674,9.784343508540973,170.50511013205116,0.01,586.036570209674
1201206060208900799650001,1294,6138.6202232528,40,3,032,Shasta,229.1,0.04935528,191.7567,21.742333510709773,1.0730989582744639,171.57820909032563,0.01,21.742333510709773
1201306060308900545200001,1511,4652.3496377188,40,3,032,Shasta,229.1,0.06126484,191.7567,108.24090488529694,6.6313617192529355,178.20957080957857,0.01,108.24090488529694
1201006051008900653970001,835,5690.1360360916,40,3,032,Shasta,229.1,0.03596816,191.7567,142.18993376728795,5.1143102881312155,183.32388109770977,0.01,142.18993376728795
1201206060208900598730001,1290,7419.721031181,40,3,032,Shasta,229.1,0.04478718,191.7567,177.11096039952326,7.932300463386321,191.2561815610961,0.01,177.11096039952326
1201506060508900835770003,1982,1814.2645955005,40,4,032,Shasta,229.1,0.06618316,191.7567,959.0321103661308,63.4717756054993,63.4717756054993,0.01,959.0321103661308
1201206060208900650470001,1292,6915.2245749588,40,4,032,Shasta,229.1,0.07286183,191.7567,622.7271818414445,45.373042059710414,108.84481766520972,0.01,622.7271818414445
1201306060308900822720001,1525,6922.0647713472,40,4,032,Shasta,229.1,0.02167126,191.7567,699.6629936748188,15.162578648305356,124.00739631351507,0.01,1553.0323949100807
1200706050708900696540002,162,4586.3245250302,40,4,032,Shasta,229.1,0.02785345,191.7567,250.15945686101813,6.967803923705525,130.9752002372206,0.01,221.95219974920838
1200806050808900723610001,374,6904.4706649014,40,4,032,Shasta,229.1,0.03616806,191.7567,497.9355430800317,18.009362598251172,148.98456283547176,0.01,497.9355430800317
1201406060408900553050002,1740,4707.8522956863,40,4,032,Shasta,229.1,0.01957213,191.7567,372.1917860288429,7.284586021088697,156.26914885656046,0.01,372.1917860288429
1200906050908900729550001,603,6520.9926056382,40,4,032,Shasta,229.1,0.06231106,191.7567,194.49298302923015,12.119063935113342,168.38821279167382,0.01,194.49298302923015
1201006051008900787120001,838,5504.4026229809,40,4,032,Shasta,229.1,0.02789575,191.7567,784.0113459995086,21.870584505165795,190.25879729683962,0.01,784.0113459995086
1201206060208900838660001,1297,7109.2577343223,40,4,032,Shasta,229.1,0.01313235,191.7567,118.61948629382029,1.5577526108306508,191.81654990767026,0.01,429.8647157088981
1201106060108900911080001,1076,4834.9775392873,40,4,032,Shasta,229.1,0.03829965,191.7567,44.13517663777362,1.6903618179149063,193.50691172558516,0.01,296.1122409947115
1200706050709100781360001,171,7109.2577343223,40,1,032,Sierra,30.5,0.08466602,25.528499999999998,61.21559222181117,5.182880555363709,5.182880555363709,0.01,NA
1201406060409100796830001,1760,8040.4857790905,40,1,032,Sierra,30.5,0.05162801,25.528499999999998,238.51877859779853,12.31424988663493,17.49713044199864,0.01,NA
1201306060309100896410002,1534,2390.2557366953,40,1,032,Sierra,30.5,0.10688476,25.528499999999998,75.0595485065245,8.022721827828228,25.519852269826867,0.01,NA
1201206060209100889320001,1309,6885.6830632359,40,1,032,Sierra,30.5,0.00323268,25.528499999999998,18.289627887051626,0.05912451427791405,25.57897678410478,0.01,NA
1201506060509100640610001,1992,4222.4052194889,40,3,032,Sierra,30.5,0.01967076,25.528499999999998,1300.1823895907087,25.57557574186533,25.57557574186533,0.01,1300.1823895907087
1201606060610300896550001,2264,5244.5701543463,40,1,032,Tehama,62.6,0.06201029,52.3962,343.18348506990094,21.280907432395228,21.280907432395228,0.01,NA
1201206060210300659910001,1344,7523.9589376441,40,1,032,Tehama,62.6,0.041274,52.3962,451.02592573842173,18.615644058927618,39.896551491322846,0.01,NA
1201606060610300972530001,2266,4533.3853679547,40,1,032,Tehama,62.6,0.05760518,52.3962,135.3006451173481,7.794018016100958,47.6905695074238,0.01,NA
1200706050710300532850001,200,7523.9589376441,40,1,032,Tehama,62.6,0.095068829999999993,52.3962,48.18092265982267,4.580503945589829,52.271073453013635,0.01,NA
1201006051010300757080001,876,7109.2577343223,40,2,032,Tehama,62.6,0.04733878,52.3962,145.89967218719138,6.906712483741571,6.906712483741571,0.01,145.89967218719138
1201006051010300735620001,875,6597.3256588267,40,2,032,Tehama,62.6,0.05393543,52.3962,372.92135041005275,20.11367339054687,27.020385874288444,0.01,372.92135041005275
1200806050810300832270001,421,7523.9589376441,40,2,032,Tehama,62.6,0.04529344,52.3962,193.62948527511995,8.770145473539529,35.79053134782797,0.01,193.62948527511995
1201206060210300781860001,1348,4803.2843700774,40,2,032,Tehama,62.6,0.01468011,52.3962,1096.6056453978615,16.0982915010616,51.88882284888957,0.01,1096.6056453978615
1201306060310300938630001,1572,7109.2577343223,40,3,032,Tehama,62.6,0.02802059,52.3962,600.3330411350208,16.821686009097554,16.821686009097554,0.01,600.3330411350208
1201206060210300664070001,1346,6502.364626384,40,3,032,Tehama,62.6,0.05871734,52.3962,259.97580969783354,15.265088009802989,32.08677401890054,0.01,259.97580969783354
1201606060610300800080001,2263,6885.6830632359,40,3,032,Tehama,62.6,0.03630528,52.3962,551.1693789865586,20.01035863153313,52.09713265043367,0.01,551.1693789865586
