biosum_cond_id,ID,biosum_plot_id,lat,lon,elev
1200806050803500509760002,297,120080605080350050976000,41.169086,-120.210636,6900
1200806050803500510840001,298,120080605080350051084000,40.294274,-120.878921,5900
1200806050803500521510001,299,120080605080350052151000,40.641332,-121.065416,6500
1200806050803500566420001,300,120080605080350056642000,40.293784,-120.569161,4900
1200806050803500651270001,301,120080605080350065127000,40.734482,-120.923742,6300
1200806050803500694350001,302,120080605080350069435000,40.576641,-121.204753,6900
1200806050803500708760001,303,120080605080350070876000,40.792055,-121.091956,5900
1200806050803500777680001,304,120080605080350077768000,40.736772,-121.256479,5700
1200806050803500814940001,305,120080605080350081494000,41.133079,-120.822345,5100
1200806050803500850420001,306,120080605080350085042000,40.709484,-121.018461,5700
1200806050803500915460001,307,120080605080350091546000,41.140765,-120.225729,7300
1200806050803500965070001,308,120080605080350096507000,40.976432,-120.802419,5300
1200806050803900561420001,309,120080605080390056142000,37.526951,-119.30441,7300
1200806050803900620280001,310,120080605080390062028000,37.422657,-119.368287,5300
1200806050803900620280003,311,120080605080390062028000,37.422657,-119.368287,5300
1200806050803900661340001,312,120080605080390066134000,37.468379,-119.543258,7100
1200806050803900824950001,313,120080605080390082495000,37.277824,-119.352977,4300
1200806050803900957710001,314,120080605080390095771000,37.414489,-119.672275,4300
1200806050804300595300002,315,120080605080430059530000,37.556436,-119.98313,2900
1200806050804300797190001,316,120080605080430079719000,37.449968,-119.826643,2900
1200806050804300890510001,317,120080605080430089051000,37.761266,-120.154352,3300
1200806050804500524990001,318,120080605080450052499000,38.934117,-123.651364,500
1200806050804500634280001,319,120080605080450063428000,39.426991,-123.426177,1500
1200806050804500692690001,320,120080605080450069269000,39.587128,-123.300166,1100
1200806050804500764590001,321,120080605080450076459000,39.953178,-123.208407,3300
1200806050804500783000001,322,120080605080450078300000,39.223873,-123.541966,700
1200806050804500796700001,323,120080605080450079670000,39.253473,-123.704667,100
1200806050804500849660001,324,120080605080450084966000,39.284063,-123.426702,1100
1200806050804500949830001,325,120080605080450094983000,39.736775,-123.724804,1300
1200806050804500949830003,326,120080605080450094983000,39.736775,-123.724804,1300
1200806050804500994940001,327,120080605080450099494000,39.603697,-122.958634,6100
1200806050804900883620001,328,120080605080490088362000,41.910134,-120.760789,5300
1200806050804900923100001,329,120080605080490092310000,41.413259,-120.991433,4300
1200806050804900932310001,330,120080605080490093231000,41.651883,-120.246267,5900
1200806050804900985010001,331,120080605080490098501000,41.963044,-120.624199,5700
1200806050805100559200001,332,120080605080510055920000,37.999417,-118.658351,7500
1200806050805100632400001,333,120080605080510063240000,37.781997,-119.121903,8100
1200806050805100727440001,334,120080605080510072744000,37.836204,-118.935394,8100
1200806050805100791070001,335,120080605080510079107000,37.674139,-118.929099,7700
1200806050805500534900001,336,120080605080550053490000,38.521762,-122.513882,1100
1200806050805500808340001,337,120080605080550080834000,38.52613,-122.221761,700
1200806050805500816470001,338,120080605080550081647000,38.398334,-122.419191,700
1200806050805700720060001,339,120080605080570072006000,39.315658,-120.909609,3700
1200806050805700743460001,340,120080605080570074346000,39.497965,-120.656624,6500
1200806050805700760600001,341,120080605080570076060000,39.304086,-120.785124,4700
1200806050805700785080001,342,120080605080570078508000,39.375496,-120.301402,7100
1200806050805700923350001,343,120080605080570092335000,39.353111,-120.591242,5700
1200806050805700945000001,344,120080605080570094500000,39.101551,-121.053487,1700
1200806050806100721090001,345,120080605080610072109000,39.304412,-120.477541,6700
1200806050806100887230001,346,120080605080610088723000,39.155712,-120.411812,5700
1200806050806100923130001,347,120080605080610092313000,39.02453,-120.593323,3700
1200806050806300530860001,348,120080605080630053086000,40.100606,-121.339106,6300
1200806050806300571340001,349,120080605080630057134000,40.152791,-121.017462,5100
1200806050806300634550001,350,120080605080630063455000,39.761265,-121.149937,5300
1200806050806300664080001,351,120080605080630066408000,40.427858,-121.367141,5700
1200806050806300664710001,352,120080605080630066471000,39.944408,-120.842042,4500
1200806050806300691070001,353,120080605080630069107000,40.037842,-120.369281,6300
1200806050806300738420001,354,120080605080630073842000,39.816645,-120.498836,4900
1200806050806300746460002,355,120080605080630074646000,39.994001,-120.51041,5500
1200806050806300787940001,356,120080605080630078794000,39.989488,-120.984059,3900
1200806050806300787940002,357,120080605080630078794000,39.989488,-120.984059,3900
1200806050806300805230001,358,120080605080630080523000,39.988809,-120.702693,6100
1200806050806300831260001,359,120080605080630083126000,40.447919,-121.08087,5700
1200806050806300847900001,360,120080605080630084790000,40.14253,-120.701228,6900
1200806050806300852350001,361,120080605080630085235000,39.796525,-120.839548,5500
1200806050806300924890001,362,120080605080630092489000,40.109458,-121.149777,4700
1200806050806300970600001,363,120080605080630097060000,40.268784,-121.324576,4900
1200806050808500605880001,364,120080605080850060588000,37.32775,-121.603798,3300
1200806050808500622200001,365,120080605080850062220000,37.079169,-121.753746,1300
1200806050808500865300002,366,120080605080850086530000,37.021976,-121.282993,1900
1200806050808700945780001,367,120080605080870094578000,37.101185,-122.054305,1100
1200806050808700992910002,368,120080605080870099291000,36.946956,-121.703346,300
1200806050808900515410001,369,120080605080890051541000,40.751244,-121.385025,4900
1200806050808900532150002,370,120080605080890053215000,41.00519,-122.418525,1700
1200806050808900548800001,371,120080605080890054880000,40.598649,-121.386154,7500
1200806050808900613480001,372,120080605080890061348000,40.949609,-122.479133,2300
1200806050808900640640001,373,120080605080890064064000,40.73293,-121.709333,4900
1200806050808900723610001,374,120080605080890072361000,40.895538,-121.764986,4300
1200806050808900777510001,375,120080605080890077751000,40.729663,-122.030654,2100
1200806050808900932800001,376,120080605080890093280000,40.846046,-121.888019,3300
1200806050808900937990001,377,120080605080890093799000,40.949929,-122.550895,4900
1200806050808900943620001,378,120080605080890094362000,40.556734,-121.706323,4100
1200806050809100652920001,379,120080605080910065292000,39.459756,-120.788101,4100
1200806050809100712620001,380,120080605080910071262000,39.657297,-120.955497,4700
1200806050809100946060001,381,120080605080910094606000,39.644987,-120.475297,6700
1200806050809100950420001,382,120080605080910095042000,39.499711,-120.971906,3900
1200806050809300537850001,383,120080605080930053785000,41.416009,-122.928549,4300
1200806050809300541920001,384,120080605080930054192000,41.894897,-123.014953,4100
1200806050809300555430001,385,120080605080930055543000,41.496106,-121.966018,5500
1200806050809300589140001,386,120080605080930058914000,41.250189,-123.077286,5900
1200806050809300645940001,387,120080605080930064594000,41.343677,-121.645982,4500
1200806050809300649330001,388,120080605080930064933000,41.389384,-121.708235,4700
1200806050809300659140001,389,120080605080930065914000,41.935785,-122.866483,4900
1200806050809300698170001,390,120080605080930069817000,41.210526,-122.134696,3300
1200806050809300698740001,391,120080605080930069874000,41.106931,-123.06846,2700
1200806050809300704330001,392,120080605080930070433000,41.847533,-122.219385,5900
1200806050809300728790001,393,120080605080930072879000,41.61183,-122.787906,3100
1200806050809300754030001,394,120080605080930075403000,41.435153,-122.623317,5300
1200806050809300763120001,395,120080605080930076312000,41.405809,-121.482155,4500
1200806050809300788230001,396,120080605080930078823000,41.716885,-122.991879,2900
1200806050809300805810001,397,120080605080930080581000,41.68612,-121.882258,4700
